DEPARTAMENTO;GEO_LAT;GEO_LONG
CUNDINAMARCA      ;4,824541;-74,097748
ANTIOQUIA         ;7,15403;-75,503349
VALLE             ;3,85836;-76,51984
SANTANDER         ;7,000009;-73,250009
ATLÁNTICO         ;10,889142;-74,97736
HUILA             ;2,473899;-75,590011
TOLIMA            ;3,750009;-75,250009
BOLÍVAR           ;9,366048;-74,802364
BOYACÁ            ;5,627898;-72,826862
META              ;3,500009;-73,000009
RISARALDA         ;5,210295;-75,984224
NARIÑO            ;1,5;-78,000009
CAUCA             ;2,715645;-76,662665
CÓRDOBA           ;8,334471;-75,666624
NORTE DE SANTANDER;8,441792;-73,049251
CALDAS            ;5,330251;-75,287347
MAGDALENA         ;10,580808;-74,068567
CESAR             ;9,333342;-73,500009
SUCRE             ;9;-75
CAQUETÁ           ;1,115339;-74,105684
QUINDÍO           ;4,397643;-75,693469
GUAJIRA           ;11,435412;-72,900216
CASANARE          ;5,500009;-71,500009
PUTUMAYO          ;0,500009;-76,000009
CHOCÓ             ;6,000009;-77,000009
ARAUCA            ;6,666676;-71,000009
AMAZONAS          ;-1,019714;-71,938333
GUAVIARE          ;1,689444;-72,820286
SAN ANDRÉS        ;12,380517;-81,614075
VICHADA           ;5,000009;-69,500009
GUAINÍA           ;2,500009;-69,000009
VAUPÉS            ;0,250009;-70,750009
